combo,train_langs,system,metric,language,value
te,Telugu,E_joint,joint_f1,Overall,0.5417
te,Telugu,E_joint,joint_f1_macro_avg,Overall,0.5745
te,Telugu,E_joint,classification_macro_f1,English,0.5846
te,Telugu,E_joint,classification_macro_f1,Hindi,0.5694
te,Telugu,E_joint,classification_macro_f1,Indonesian,0.595
te,Telugu,E_joint,classification_macro_f1,Spanish,0.5652
te,Telugu,E_joint,classification_macro_f1,Telugu,0.7252
te,Telugu,E_joint,classification_macro_f1,Overall,0.5993
te,Telugu,E_joint,e2e_span_overlap_f1,English,0.2398
te,Telugu,E_joint,e2e_span_overlap_f1,Hindi,0.4796
te,Telugu,E_joint,e2e_span_overlap_f1,Indonesian,0.4555
te,Telugu,E_joint,e2e_span_overlap_f1,Spanish,0.2279
te,Telugu,E_joint,e2e_span_overlap_f1,Telugu,0.6114
te,Telugu,E_joint,e2e_span_overlap_f1,Overall,0.3478
te,Telugu,E_joint,joint_accuracy,Overall,0.3944
te,Telugu,F_sequential,joint_f1,English,0.4828
te,Telugu,F_sequential,joint_f1,Spanish,0.4806
te,Telugu,F_sequential,joint_f1,Hindi,0.5171
te,Telugu,F_sequential,joint_f1,Telugu,0.7732
te,Telugu,F_sequential,joint_f1,Overall,0.5541
te,Telugu,F_sequential,joint_f1_macro_avg,Overall,0.5634
te,Telugu,F_sequential,classification_macro_f1,English,0.5339
te,Telugu,F_sequential,classification_macro_f1,Hindi,0.5551
te,Telugu,F_sequential,classification_macro_f1,Indonesian,0.6923
te,Telugu,F_sequential,classification_macro_f1,Spanish,0.5455
te,Telugu,F_sequential,classification_macro_f1,Telugu,0.7732
te,Telugu,F_sequential,classification_macro_f1,Overall,0.6146
te,Telugu,F_sequential,e2e_span_overlap_f1,English,0.0976
te,Telugu,F_sequential,e2e_span_overlap_f1,Hindi,0.3055
te,Telugu,F_sequential,e2e_span_overlap_f1,Indonesian,0.2909
te,Telugu,F_sequential,e2e_span_overlap_f1,Spanish,0.1253
te,Telugu,F_sequential,e2e_span_overlap_f1,Telugu,0.6834
te,Telugu,F_sequential,e2e_span_overlap_f1,Overall,0.2209
te,Telugu,F_sequential,joint_accuracy,Overall,0.5115
te,Telugu,G_bio,joint_f1,English,0.1994
te,Telugu,G_bio,joint_f1,Spanish,0.2395
te,Telugu,G_bio,joint_f1,Hindi,0.3981
te,Telugu,G_bio,joint_f1,Telugu,0.479
te,Telugu,G_bio,joint_f1,Overall,0.3082
te,Telugu,G_bio,e2e_span_overlap_f1,English,0.1467
te,Telugu,G_bio,e2e_span_overlap_f1,Hindi,0.4036
te,Telugu,G_bio,e2e_span_overlap_f1,Indonesian,0.4053
te,Telugu,G_bio,e2e_span_overlap_f1,Spanish,0.1459
te,Telugu,G_bio,e2e_span_overlap_f1,Telugu,0.2717
te,Telugu,G_bio,e2e_span_overlap_f1,Overall,0.2567
te,Telugu,G_bio,joint_accuracy,Overall,0.0418
en_es,English+Spanish,A_pipeline,joint_f1,English,0.8024
en_es,English+Spanish,A_pipeline,joint_f1,Spanish,0.7434
en_es,English+Spanish,A_pipeline,joint_f1,Hindi,0.6915
en_es,English+Spanish,A_pipeline,joint_f1,Telugu,0.6198
en_es,English+Spanish,A_pipeline,joint_f1,Overall,0.7334
en_es,English+Spanish,A_pipeline,joint_f1_macro_avg,Overall,0.7143
en_es,English+Spanish,A_pipeline,classification_macro_f1,English,0.8103
en_es,English+Spanish,A_pipeline,classification_macro_f1,Hindi,0.7529
en_es,English+Spanish,A_pipeline,classification_macro_f1,Indonesian,0.7557
en_es,English+Spanish,A_pipeline,classification_macro_f1,Spanish,0.7511
en_es,English+Spanish,A_pipeline,classification_macro_f1,Telugu,0.6477
en_es,English+Spanish,A_pipeline,classification_macro_f1,Overall,0.7638
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,English,0.7415
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,Hindi,0.5513
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,Indonesian,0.6669
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,Spanish,0.7549
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,Telugu,0.6125
en_es,English+Spanish,A_pipeline,e2e_span_overlap_f1,Overall,0.6995
en_es,English+Spanish,A_pipeline,joint_accuracy,Overall,0.59
en_es,English+Spanish,E_joint,joint_f1,English,0.7781
en_es,English+Spanish,E_joint,joint_f1,Spanish,0.752
en_es,English+Spanish,E_joint,joint_f1,Hindi,0.6774
en_es,English+Spanish,E_joint,joint_f1,Telugu,0.6896
en_es,English+Spanish,E_joint,joint_f1,Overall,0.7436
en_es,English+Spanish,E_joint,joint_f1_macro_avg,Overall,0.7243
en_es,English+Spanish,E_joint,classification_macro_f1,English,0.7821
en_es,English+Spanish,E_joint,classification_macro_f1,Hindi,0.7252
en_es,English+Spanish,E_joint,classification_macro_f1,Indonesian,0.7815
en_es,English+Spanish,E_joint,classification_macro_f1,Spanish,0.7638
en_es,English+Spanish,E_joint,classification_macro_f1,Telugu,0.735
en_es,English+Spanish,E_joint,classification_macro_f1,Overall,0.7709
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,English,0.6594
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,Hindi,0.4537
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,Indonesian,0.6229
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,Spanish,0.6975
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,Telugu,0.6032
en_es,English+Spanish,E_joint,e2e_span_overlap_f1,Overall,0.6404
en_es,English+Spanish,E_joint,joint_accuracy,Overall,0.614
en_es,English+Spanish,F_sequential,joint_f1,English,0.7825
en_es,English+Spanish,F_sequential,joint_f1,Spanish,0.7478
en_es,English+Spanish,F_sequential,joint_f1,Hindi,0.6113
en_es,English+Spanish,F_sequential,joint_f1,Telugu,0.6745
en_es,English+Spanish,F_sequential,joint_f1,Overall,0.7339
en_es,English+Spanish,F_sequential,joint_f1_macro_avg,Overall,0.704
en_es,English+Spanish,F_sequential,classification_macro_f1,English,0.7944
en_es,English+Spanish,F_sequential,classification_macro_f1,Hindi,0.687
en_es,English+Spanish,F_sequential,classification_macro_f1,Indonesian,0.7548
