combo,train_langs,system,target_language,joint_f1,target_seen_in_training
es_hi_te,Spanish+Hindi+Telugu,E_joint,English,0.7628,False
es_hi_te,Spanish+Hindi+Telugu,E_joint,Spanish,0.7271,True
es_hi_te,Spanish+Hindi+Telugu,E_joint,Hindi,0.6771,True
es_hi_te,Spanish+Hindi+Telugu,E_joint,Telugu,0.7835,True
es_hi_te,Spanish+Hindi+Telugu,F_sequential,English,0.7663,False
es_hi_te,Spanish+Hindi+Telugu,F_sequential,Spanish,0.7402,True
es_hi_te,Spanish+Hindi+Telugu,F_sequential,Hindi,0.6744,True
es_hi_te,Spanish+Hindi+Telugu,F_sequential,Telugu,0.8046,True
es_hi_te,Spanish+Hindi+Telugu,G_bio,English,0.4571,False
es_hi_te,Spanish+Hindi+Telugu,G_bio,Spanish,0.4686,True
es_hi_te,Spanish+Hindi+Telugu,G_bio,Hindi,0.479,True
es_hi_te,Spanish+Hindi+Telugu,G_bio,Telugu,0.4876,True
en_es_hi_te,English+Spanish+Hindi+Telugu,A_pipeline,English,0.8023,True
en_es_hi_te,English+Spanish+Hindi+Telugu,A_pipeline,Spanish,0.7309,True
en_es_hi_te,English+Spanish+Hindi+Telugu,A_pipeline,Hindi,0.687,True
en_es_hi_te,English+Spanish+Hindi+Telugu,A_pipeline,Telugu,0.774,True
en_es_hi_te,English+Spanish+Hindi+Telugu,E_joint,English,0.7745,True
en_es_hi_te,English+Spanish+Hindi+Telugu,E_joint,Spanish,0.752,True
en_es_hi_te,English+Spanish+Hindi+Telugu,E_joint,Hindi,0.6357,True
en_es_hi_te,English+Spanish+Hindi+Telugu,E_joint,Telugu,0.7903,True
en_es_hi_te,English+Spanish+Hindi+Telugu,F_sequential,English,0.7819,True
en_es_hi_te,English+Spanish+Hindi+Telugu,F_sequential,Spanish,0.7636,True
en_es_hi_te,English+Spanish+Hindi+Telugu,F_sequential,Hindi,0.6418,True
en_es_hi_te,English+Spanish+Hindi+Telugu,F_sequential,Telugu,0.7889,True
en_es_hi_te,English+Spanish+Hindi+Telugu,G_bio,English,0.4628,True
en_es_hi_te,English+Spanish+Hindi+Telugu,G_bio,Spanish,0.4708,True
en_es_hi_te,English+Spanish+Hindi+Telugu,G_bio,Hindi,0.4876,True
en_es_hi_te,English+Spanish+Hindi+Telugu,G_bio,Telugu,0.479,True
